,name,artist,uris
0,Rainbow Connection,The Muppets,spotify:track:1SJ4ycWow4yz6z4oFz8NAG
1,Somewhere Over The Rainbow_What A Wonderful World,Israel Kamakawiwo'ole,spotify:track:25U7raB3ZSszayTYClh4hF
2,What a Wonderful World,Joey Ramone,spotify:track:04cdEVbQPb8BJb7593e5fO
3,One Day / Reckoning Song (Wankelmut Remix) [Radio Edit],Asaf Avidan & the Mojos,spotify:track:5HSkycOEtb9iQ7cg1Oyqmu
4,What A Wonderful World - Single Version,Louis Armstrong,spotify:track:2pp3RfqX5cb1BAnmNi4Nej
5,Homecoming,Green Day,spotify:track:4wH29TM74O3788Kn1KzWuY
6,Wake Me up When September Ends,Green Day,spotify:track:3ZffCQKLFLUvYM59XKLbVm
7,Jesus of Suburbia,Green Day,spotify:track:58KPPL1AdLHMvR2O2PZejr
8,Not Afraid,Eminem,spotify:track:7Ie9W94M7OjPoZVV216Xus
9,God & Satan,Biffy Clyro,spotify:track:6aihKTSpfxixl9uqm4hNEy
10,Softer to Me,Relient K,spotify:track:5PMA1s2sfSlZWTB4XjEGfo
11,Longview,Green Day,spotify:track:3LRJbFT9rKoKv4aW7PuBJC
12,Somebody That I Used to Know (Dubstep Remix),Dubstep Mafia,spotify:track:2KzIsNi9E7H74h0oVX9JzY
13,Somebody That I Used To Know - Bombs Away Dubstep Remix,The Westside Gaming,spotify:track:3NdAXnoxuXuIM74oQWVAna
14,Love You Like A Love Song,Selena Gomez & The Scene,spotify:track:0laYHRpNTS6i8FXdupHkJ4
15,We Are Young (feat. Janelle Monáe),fun.,spotify:track:7a86XRg84qjasly9f6bPSD
16,Grenade,Bruno Mars,spotify:track:2tJulUYLDKOg9XrtVkMgcJ
17,Marry You,Bruno Mars,spotify:track:22PMfvdz35fFKYnJyMn077
18,Dust in the Wind,"The Hit Co., The Tribute Co.",spotify:track:0EycxtLQimD0jgscVwTQBz
19,Everybody Hurts,The Hit Co.,spotify:track:2QVA6ZKunwNJApyPKvIJ6S
20,The Sound of Silence,Simon & Garfunkel,spotify:track:7eQUgarLukHLkZaO1mxtab
21,Utopia (feat. Chris Jones),Within Temptation,spotify:track:0rZQcqysLosoc46Vv6I54b
22,Sinéad,Within Temptation,spotify:track:6agaR8uXdeycsvlxtZvKMW
23,Faster,Within Temptation,spotify:track:09whmgWfGHPys6k3M9Athv
24,Highwayman,The Highwaymen,spotify:track:0KLGjcaznMqpUwxAws0KwL
25,Another Day In Paradise,Phil Collins,spotify:track:3wNXqTMimmuTEj1iEPftC7
26,Stairway to Heaven,Led Zepagain,spotify:track:0DANcJuMamcL9NyYkEWWTq
27,Just Give Me a Reason,P!nk,spotify:track:1qHaLcG3LOeh6ZB8vii5ZZ
28,Since I Gave Up Hope I Feel Alot Better,Steve Taylor,spotify:track:12qAxo8fvGYedhhYQnwJLz
29,Innocence Lost,Steve Taylor,spotify:track:05LnKShwBQgAGaCf37KJbW
30,Sin For A Season,Steve Taylor,spotify:track:7BCDwOzZDNjhICmOP2Dw0O
31,Hero,Steve Taylor,spotify:track:5syIJeygRTI21cDwFtwsRf
32,White America,Eminem,spotify:track:15qrWkkYCfmtu1uRpGf48L
33,Role of A Lifetime,Cast Recording,spotify:track:7DdkL7YtSRFZotD4qZloRG
34,Plain Jane Fat Ass,Cast Recording,spotify:track:7IqfeRNfc7ZQ878X38kJd9
35,Best Kept Secret,Cast Recording,spotify:track:0PTiNSf92CZq2ffN3Lg9GO
36,Ever After,Cast Recording,spotify:track:56ThAgAaWjACo2UAhBItSh
37,That's All She Wrote (feat. Eminem),T.I.,spotify:track:4UwtMoKBvYi0mMbH2ZI3uB
38,Second Chance,Shinedown,spotify:track:0CwYG1UnRmOx8Q1EzElCIL
39,Teenagers,My Chemical Romance,spotify:track:7j31rVgGX9Q2blT92VBEA0
40,Can't Hold Us - feat. Ray Dalton,Macklemore & Ryan Lewis,spotify:track:3bidbhpOYeV4knp8AIu8Xn
41,Some Nights,fun.,spotify:track:6t6oULCRS6hnI7rm0h5gwl
42,Come & Get It,Selena Gomez,spotify:track:7Gkphzdh5ouurEt7JT49Yu
43,Thrift Shop (feat. Wanz),Macklemore,spotify:track:1CmUZGtH29Kx36C1Hleqlz
44,Mirrors,Justin Timberlake,spotify:track:03gqZZavMKhWbSjdQvpF6O
45,When I Was Your Man,Bruno Mars,spotify:track:0nJW01T7XtvILxQgC5J7Wh
46,I Need Your Love (feat. Ellie Goulding),Calvin Harris,spotify:track:05SBRd4fXgn8FX7bf8BCAE
47,My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy,spotify:track:7s0lDK7y3XLmI7tcsRAbW0
48,Heart Attack,Demi Lovato,spotify:track:25n4NECujqOxQHdXVIVc9I
49,Radioactive,Imagine Dragons,spotify:track:4G8gkOterJn0Ywt6uhqbhp
50,Feel This Moment (feat. Christina Aguilera),Pitbull,spotify:track:1lb0sQGUjzJhkNNU6srjeZ
51,No Love,Eminem,spotify:track:7bHT9osSq1rwT2yaImzqCi
52,Stay,Shaun Reynolds,spotify:track:3ShCJTrnhjvUpL234S4QbJ
53,I Knew You Were Trouble.,Taylor Swift,spotify:track:4GzDUKkd1RwAtYZMMUBM3W
54,Through the Ghost,Shinedown,spotify:track:33JmIIfnnqxwUSpXo5ttDG
55,50 Ways to Say Goodbye - Radio Version,Ways to Say You Died,spotify:track:3IXiopjRC9ggfHgQuvPodS
56,Lucy,Skillet,spotify:track:4VqkhvOP0FkcVrDxgJXtxM
57,Shut Me Up,Mindless Self Indulgence,spotify:track:7AH9Fmka4of4Y25lfhvBUC
58,Rain Song,Day Of Fire,spotify:track:68atHlXiiY4UPQ7A6T0C5m
